time,global step,score
23h 59m 46s,20,0.0
23h 59m 46s,43,0.0
23h 59m 46s,68,0.0
23h 59m 47s,98,0.0
23h 59m 47s,143,0.0
23h 59m 47s,228,2.0
23h 59m 48s,256,0.0
23h 59m 48s,309,0.0
23h 59m 48s,336,0.0
23h 59m 48s,356,0.0
23h 59m 48s,375,2.0
23h 59m 48s,390,0.0
23h 59m 48s,438,0.0
23h 59m 48s,439,0.0
23h 59m 48s,452,0.0
23h 59m 49s,503,0.0
23h 59m 49s,516,0.0
23h 59m 49s,559,0.0
23h 59m 49s,576,0.0
23h 59m 49s,631,0.0
23h 59m 49s,637,0.0
23h 59m 49s,680,1.0
23h 59m 49s,696,0.0
23h 59m 49s,705,0.0
23h 59m 50s,764,0.0
23h 59m 50s,765,0.0
23h 59m 50s,783,0.0
23h 59m 50s,812,0.0
23h 59m 50s,838,0.0
23h 59m 50s,842,1.0
23h 59m 50s,879,0.0
23h 59m 50s,920,0.0
23h 59m 50s,951,0.0
23h 59m 50s,979,1.0
23h 59m 50s,1051,0.0
23h 59m 51s,1135,1.0
23h 59m 51s,1156,0.0
23h 59m 51s,1237,0.0
23h 59m 51s,1242,0.0
23h 59m 51s,1300,0.0
23h 59m 51s,1414,0.0
23h 59m 51s,1436,1.0
23h 59m 51s,1464,0.0
23h 59m 51s,1499,2.0
23h 59m 51s,1500,2.0
23h 59m 51s,1530,0.0
23h 59m 52s,1598,0.0
23h 59m 52s,1652,0.0
23h 59m 52s,1661,0.0
23h 59m 52s,1672,0.0
23h 59m 52s,1680,0.0
23h 59m 52s,1733,0.0
23h 59m 52s,1845,0.0
23h 59m 52s,1866,1.0
23h 59m 52s,1873,0.0
23h 59m 52s,1911,0.0
23h 59m 52s,1912,1.0
23h 59m 52s,1914,0.0
23h 59m 52s,2011,0.0
23h 59m 52s,2047,2.0
23h 59m 52s,2081,0.0
23h 59m 52s,2084,0.0
23h 59m 52s,2089,0.0
23h 59m 52s,2107,0.0
23h 59m 52s,2113,1.0
23h 59m 52s,2205,0.0
23h 59m 52s,2214,0.0
23h 59m 52s,2243,0.0
23h 59m 53s,2293,0.0
23h 59m 53s,2300,0.0
23h 59m 53s,2303,0.0
23h 59m 53s,2329,0.0
23h 59m 53s,2398,0.0
23h 59m 53s,2440,0.0
23h 59m 53s,2466,0.0
23h 59m 53s,2478,0.0
23h 59m 53s,2512,0.0
23h 59m 53s,2549,0.0
23h 59m 53s,2551,0.0
23h 59m 53s,2606,0.0
23h 59m 53s,2606,0.0
23h 59m 53s,2677,0.0
23h 59m 53s,2679,2.0
23h 59m 53s,2698,0.0
23h 59m 53s,2699,0.0
23h 59m 53s,2723,0.0
23h 59m 53s,2739,0.0
23h 59m 53s,2829,0.0
23h 59m 53s,2900,0.0
23h 59m 53s,2909,0.0
23h 59m 53s,2914,0.0
23h 59m 53s,2933,0.0
23h 59m 53s,2963,0.0
23h 59m 53s,2965,0.0
23h 59m 53s,2985,2.0
23h 59m 53s,3014,0.0
23h 59m 53s,3058,1.0
23h 59m 53s,3107,0.0
23h 59m 53s,3139,0.0
23h 59m 53s,3167,0.0
23h 59m 54s,3206,0.0
23h 59m 54s,3229,0.0
23h 59m 54s,3240,0.0
23h 59m 54s,3254,0.0
23h 59m 54s,3287,0.0
23h 59m 54s,3306,0.0
23h 59m 54s,3308,0.0
23h 59m 54s,3361,0.0
23h 59m 54s,3388,0.0
23h 59m 54s,3409,3.0
23h 59m 54s,3445,0.0
23h 59m 54s,3461,1.0
23h 59m 54s,3477,0.0
23h 59m 54s,3490,0.0
23h 59m 54s,3589,0.0
23h 59m 54s,3594,0.0
23h 59m 54s,3640,0.0
23h 59m 54s,3666,1.0
23h 59m 54s,3676,0.0
23h 59m 54s,3693,0.0
23h 59m 54s,3695,0.0
23h 59m 54s,3705,0.0
23h 59m 54s,3764,0.0
23h 59m 54s,3791,0.0
23h 59m 54s,3859,2.0
23h 59m 54s,3916,0.0
23h 59m 54s,3923,0.0
23h 59m 54s,3949,0.0
23h 59m 54s,3971,0.0
23h 59m 54s,3973,0.0
23h 59m 54s,3978,0.0
23h 59m 54s,3996,0.0
23h 59m 54s,4025,0.0
23h 59m 54s,4108,0.0
23h 59m 54s,4120,0.0
23h 59m 54s,4131,0.0
23h 59m 54s,4255,0.0
23h 59m 55s,4274,0.0
23h 59m 55s,4298,0.0
23h 59m 55s,4300,0.0
23h 59m 55s,4314,1.0
23h 59m 55s,4324,0.0
23h 59m 55s,4329,0.0
23h 59m 55s,4345,0.0
23h 59m 55s,4404,0.0
23h 59m 55s,4419,0.0
23h 59m 55s,4502,1.0
23h 59m 55s,4526,0.0
23h 59m 55s,4542,0.0
23h 59m 55s,4543,0.0
23h 59m 55s,4572,0.0
23h 59m 55s,4580,0.0
23h 59m 55s,4596,0.0
23h 59m 55s,4637,0.0
23h 59m 55s,4643,0.0
23h 59m 55s,4657,0.0
23h 59m 55s,4752,1.0
23h 59m 55s,4759,0.0
23h 59m 55s,4789,0.0
23h 59m 55s,4793,0.0
23h 59m 55s,4811,0.0
23h 59m 55s,4833,0.0
23h 59m 55s,4878,0.0
23h 59m 55s,4887,0.0
23h 59m 55s,4927,0.0
23h 59m 55s,4946,0.0
23h 59m 55s,4988,0.0
23h 59m 55s,5002,0.0
23h 59m 55s,5017,1.0
23h 59m 55s,5039,0.0
23h 59m 55s,5048,2.0
23h 59m 55s,5156,0.0
23h 59m 55s,5167,0.0
23h 59m 55s,5206,0.0
23h 59m 55s,5238,0.0
23h 59m 55s,5253,2.0
23h 59m 55s,5319,0.0
23h 59m 55s,5333,0.0
23h 59m 55s,5336,0.0
23h 59m 55s,5402,0.0
23h 59m 55s,5413,0.0
23h 59m 55s,5442,0.0
23h 59m 55s,5449,0.0
23h 59m 55s,5479,0.0
23h 59m 55s,5562,0.0
23h 59m 55s,5588,0.0
23h 59m 56s,5670,0.0
23h 59m 56s,5711,0.0
23h 59m 56s,5712,1.0
23h 59m 56s,5809,0.0
23h 59m 56s,5823,0.0
23h 59m 56s,5837,0.0
23h 59m 56s,5838,0.0
23h 59m 56s,5859,0.0
23h 59m 56s,5937,1.0
23h 59m 56s,6010,0.0
23h 59m 56s,6055,0.0
23h 59m 56s,6058,0.0
23h 59m 56s,6144,0.0
23h 59m 56s,6179,0.0
23h 59m 56s,6315,0.0
23h 59m 56s,6327,0.0
23h 59m 56s,6329,1.0
23h 59m 56s,6348,0.0
23h 59m 56s,6353,0.0
23h 59m 56s,6412,0.0
23h 59m 56s,6422,2.0
23h 59m 56s,6429,0.0
23h 59m 56s,6443,1.0
23h 59m 56s,6453,0.0
23h 59m 56s,6522,0.0
23h 59m 56s,6532,0.0
23h 59m 56s,6548,0.0
23h 59m 56s,6567,0.0
23h 59m 56s,6591,1.0
23h 59m 56s,6618,1.0
23h 59m 56s,6644,0.0
23h 59m 56s,6693,0.0
23h 59m 56s,6880,0.0
23h 59m 56s,6887,0.0
23h 59m 56s,6957,0.0
23h 59m 56s,6964,0.0
23h 59m 56s,6985,0.0
23h 59m 56s,6989,0.0
23h 59m 56s,6990,0.0
23h 59m 56s,6995,0.0
23h 59m 56s,6994,0.0
23h 59m 56s,7006,1.0
23h 59m 56s,7047,0.0
23h 59m 56s,7060,0.0
23h 59m 56s,7065,0.0
23h 59m 56s,7100,0.0
23h 59m 56s,7102,0.0
23h 59m 56s,7157,0.0
23h 59m 56s,7160,0.0
23h 59m 56s,7165,1.0
23h 59m 56s,7166,0.0
23h 59m 56s,7198,0.0
23h 59m 56s,7268,1.0
23h 59m 56s,7310,2.0
23h 59m 56s,7329,0.0
23h 59m 56s,7342,0.0
23h 59m 57s,7409,0.0
23h 59m 57s,7491,0.0
23h 59m 57s,7527,0.0
23h 59m 57s,7609,0.0
23h 59m 57s,7645,0.0
23h 59m 57s,7642,0.0
23h 59m 57s,7648,0.0
23h 59m 57s,7665,0.0
23h 59m 57s,7667,0.0
23h 59m 57s,7682,0.0
23h 59m 57s,7706,0.0
23h 59m 57s,7719,0.0
23h 59m 57s,7731,1.0
23h 59m 57s,7771,0.0
23h 59m 57s,7806,0.0
23h 59m 57s,7828,0.0
23h 59m 57s,7843,0.0
23h 59m 57s,7870,0.0
23h 59m 57s,7875,0.0
23h 59m 57s,7906,0.0
23h 59m 57s,7907,2.0
23h 59m 57s,7940,1.0
23h 59m 57s,7964,0.0
23h 59m 57s,8074,0.0
23h 59m 57s,8079,0.0
23h 59m 57s,8100,2.0
23h 59m 57s,8156,0.0
23h 59m 57s,8163,0.0
23h 59m 57s,8253,0.0
23h 59m 57s,8264,0.0
