time,global step,score
23h 59m 52s,38119,-97.0
23h 59m 55s,45465,-95.0
23h 59m 58s,50974,-93.0
23h 59m 59s,53295,-95.0
00h 00m 01s,56397,-99.0
00h 00m 01s,57502,-99.0
00h 00m 01s,57867,-97.0
00h 00m 01s,58000,-95.0
00h 00m 02s,59115,-99.0
00h 00m 02s,59272,-99.0
00h 00m 03s,60393,-99.0
00h 00m 03s,60979,-97.0
00h 00m 03s,61191,-99.0
00h 00m 03s,61675,-97.0
00h 00m 03s,61812,-99.0
00h 00m 04s,63260,-97.0
00h 00m 04s,64054,-99.0
00h 00m 05s,64360,-97.0
00h 00m 05s,64471,-99.0
00h 00m 05s,65005,-97.0
00h 00m 05s,65152,-99.0
00h 00m 05s,65256,-97.0
00h 00m 05s,65743,-97.0
00h 00m 06s,67068,-97.0
00h 00m 06s,67084,-99.0
00h 00m 06s,67225,-97.0
00h 00m 06s,68185,-99.0
00h 00m 07s,68653,-97.0
00h 00m 07s,68814,-99.0
00h 00m 07s,69661,-95.0
00h 00m 07s,70048,-97.0
00h 00m 08s,71916,-99.0
00h 00m 08s,72241,-99.0
00h 00m 08s,72312,-95.0
00h 00m 09s,72409,-95.0
00h 00m 25s,106548,-95.0
00h 00m 26s,107748,-93.0
00h 00m 31s,117535,-99.0
00h 00m 31s,117731,-99.0
00h 00m 31s,118258,-97.0
00h 00m 31s,118312,-93.0
00h 00m 31s,118375,-95.0
00h 00m 31s,118641,-95.0
00h 00m 33s,122181,-95.0
00h 00m 33s,122598,-97.0
00h 00m 34s,123548,-97.0
00h 00m 34s,123552,-95.0
00h 00m 35s,125383,-97.0
00h 00m 35s,125849,-95.0
00h 00m 35s,126170,-93.0
00h 00m 35s,126517,-97.0
00h 00m 35s,126593,-97.0
00h 00m 35s,126858,-99.0
00h 00m 36s,127836,-97.0
00h 00m 36s,127942,-97.0
00h 00m 36s,128091,-89.0
00h 00m 37s,129772,-91.0
00h 00m 37s,130651,-91.0
00h 00m 38s,131424,-95.0
00h 00m 38s,132848,-95.0
00h 00m 38s,132871,-95.0
00h 00m 38s,133067,-91.0
00h 00m 39s,134892,-99.0
00h 00m 40s,136136,-97.0
00h 00m 40s,136171,-99.0
00h 00m 41s,139337,-97.0
00h 00m 42s,139730,-95.0
00h 00m 42s,140787,-91.0
00h 00m 45s,145673,-97.0
00h 00m 46s,147982,-95.0
00h 00m 55s,167219,-95.0
00h 00m 58s,172413,-95.0
00h 00m 59s,175298,-97.0
00h 01m 00s,176453,-95.0
00h 01m 01s,179290,-95.0
00h 01m 02s,179931,-95.0
00h 01m 02s,180050,-91.0
00h 01m 02s,181433,-97.0
00h 01m 03s,182372,-97.0
00h 01m 05s,185987,-99.0
00h 01m 05s,186215,-95.0
00h 01m 06s,187842,-99.0
00h 01m 06s,189045,-99.0
00h 01m 07s,189921,-89.0
00h 01m 07s,190431,-89.0
00h 01m 07s,190588,-97.0
00h 01m 07s,191120,-97.0
00h 01m 08s,192171,-97.0
00h 01m 09s,193927,-97.0
00h 01m 09s,194191,-97.0
00h 01m 09s,195023,-93.0
00h 01m 09s,195214,-97.0
00h 01m 10s,196136,-97.0
00h 01m 10s,196402,-95.0
00h 01m 10s,196975,-97.0
00h 01m 13s,201771,-99.0
00h 01m 13s,201825,-97.0
00h 01m 13s,201998,-91.0
00h 01m 13s,203405,-95.0
00h 01m 15s,206270,-95.0
00h 01m 15s,207401,-91.0
00h 01m 16s,208273,-97.0
00h 01m 17s,210197,-87.0
00h 01m 18s,212511,-99.0
00h 01m 23s,223096,-97.0
00h 01m 28s,233771,-89.0
00h 01m 30s,236262,-95.0
00h 01m 30s,236544,-87.0
00h 01m 30s,237432,-99.0
00h 01m 32s,240734,-99.0
00h 01m 33s,242771,-95.0
00h 01m 35s,246067,-93.0
00h 01m 35s,246816,-97.0
00h 01m 35s,246945,-95.0
00h 01m 36s,249501,-95.0
00h 01m 36s,249910,-99.0
00h 01m 37s,251496,-93.0
00h 01m 38s,252191,-91.0
00h 01m 38s,252586,-93.0
00h 01m 39s,254187,-93.0
00h 01m 39s,254750,-93.0
00h 01m 39s,255287,-95.0
00h 01m 40s,256143,-87.0
00h 01m 40s,257756,-93.0
00h 01m 41s,258066,-95.0
00h 01m 42s,260759,-97.0
00h 01m 42s,261065,-93.0
00h 01m 43s,263842,-89.0
00h 01m 44s,264264,-93.0
00h 01m 44s,265404,-93.0
00h 01m 44s,265519,-93.0
00h 01m 44s,265804,-91.0
00h 01m 45s,267260,-89.0
00h 01m 46s,268055,-91.0
00h 01m 46s,268666,-95.0
00h 01m 46s,268746,-97.0
00h 01m 47s,270512,-89.0
00h 01m 49s,274541,-93.0
00h 01m 53s,283224,-95.0
00h 02m 02s,301147,-95.0
00h 02m 03s,303247,-95.0
00h 02m 04s,305090,-85.0
00h 02m 04s,305846,-97.0
00h 02m 05s,307329,-93.0
00h 02m 05s,307883,-93.0
00h 02m 05s,308191,-93.0
00h 02m 06s,308635,-95.0
00h 02m 06s,308822,-93.0
00h 02m 07s,310666,-77.0
00h 02m 07s,310817,-97.0
00h 02m 07s,311106,-97.0
00h 02m 09s,315118,-93.0
00h 02m 11s,319933,-89.0
00h 02m 12s,320466,-93.0
00h 02m 13s,322713,-89.0
00h 02m 13s,323958,-95.0
00h 02m 14s,324391,-93.0
00h 02m 14s,324860,-97.0
00h 02m 14s,325757,-91.0
00h 02m 14s,325845,-91.0
00h 02m 14s,325858,-95.0
00h 02m 15s,326623,-93.0
00h 02m 15s,327156,-95.0
00h 02m 15s,327351,-91.0
00h 02m 15s,327644,-87.0
00h 02m 16s,328404,-93.0
00h 02m 16s,328421,-95.0
00h 02m 17s,331681,-89.0
00h 02m 19s,335668,-97.0
00h 02m 20s,337035,-91.0
00h 02m 20s,338065,-93.0
00h 02m 21s,339092,-93.0
00h 02m 23s,343690,-85.0
00h 02m 26s,348646,-95.0
00h 02m 32s,362536,-95.0
00h 02m 33s,363075,-95.0
00h 02m 33s,363980,-89.0
00h 02m 34s,365691,-95.0
00h 02m 36s,368840,-87.0
00h 02m 36s,369588,-87.0
00h 02m 37s,371614,-85.0
00h 02m 39s,376073,-87.0
00h 02m 40s,376973,-93.0
00h 02m 40s,378323,-95.0
00h 02m 41s,378571,-93.0
00h 02m 42s,382073,-85.0
00h 02m 43s,383272,-93.0
00h 02m 43s,383619,-97.0
00h 02m 43s,384046,-95.0
00h 02m 43s,384358,-95.0
00h 02m 44s,385274,-95.0
00h 02m 44s,385733,-89.0
00h 02m 44s,386103,-95.0
00h 02m 45s,387994,-97.0
00h 02m 46s,389492,-89.0
00h 02m 46s,390368,-95.0
00h 02m 47s,391630,-83.0
00h 02m 47s,392039,-93.0
00h 02m 48s,393452,-93.0
00h 02m 48s,394225,-91.0
00h 02m 49s,396339,-97.0
00h 02m 50s,396727,-89.0
00h 02m 50s,396963,-93.0
00h 02m 51s,398660,-85.0
00h 02m 51s,399198,-87.0
00h 02m 52s,402219,-85.0
00h 02m 53s,403130,-89.0
00h 02m 54s,405046,-95.0
00h 03m 02s,422628,-89.0
00h 03m 02s,422646,-87.0
00h 03m 03s,423736,-97.0
00h 03m 03s,423901,-93.0
00h 03m 04s,425371,-99.0
