time,global step,score
00h 01m 15s,372,1.0
00h 01m 16s,722,6.0
00h 01m 16s,840,3.0
00h 01m 16s,1185,4.0
00h 01m 16s,1189,1.0
00h 01m 16s,1258,2.0
00h 01m 17s,1934,0.0
00h 01m 17s,2008,1.0
00h 01m 17s,2101,7.0
00h 01m 17s,2127,5.0
00h 01m 18s,2677,0.0
00h 01m 18s,2950,0.0
00h 01m 18s,3113,2.0
00h 01m 19s,3980,0.0
00h 01m 19s,4134,1.0
00h 01m 19s,4139,0.0
00h 01m 19s,4260,2.0
00h 01m 19s,4267,4.0
00h 01m 19s,5154,10.0
00h 01m 19s,5352,0.0
00h 01m 20s,6205,0.0
00h 01m 20s,6209,7.0
00h 01m 20s,6375,1.0
00h 01m 20s,6567,0.0
00h 01m 20s,6724,0.0
00h 01m 20s,6820,0.0
00h 01m 20s,6952,6.0
00h 01m 20s,7281,7.0
00h 01m 21s,7668,4.0
00h 01m 21s,7772,13.0
00h 01m 21s,8622,2.0
00h 01m 21s,8639,3.0
00h 01m 21s,8957,2.0
00h 01m 21s,9256,3.0
00h 01m 21s,9260,10.0
00h 01m 21s,9497,10.0
00h 01m 21s,9564,6.0
00h 01m 21s,9570,1.0
00h 01m 21s,9649,7.0
00h 01m 21s,9918,1.0
00h 01m 22s,10036,2.0
00h 01m 22s,10056,10.0
00h 01m 22s,10338,3.0
00h 01m 22s,10525,6.0
00h 01m 22s,10588,0.0
00h 01m 22s,10618,4.0
00h 01m 22s,11114,7.0
00h 01m 22s,11392,4.0
00h 01m 22s,11413,2.0
00h 01m 22s,11690,5.0
00h 01m 22s,12286,4.0
00h 01m 23s,12542,3.0
00h 01m 23s,12575,4.0
00h 01m 23s,12625,2.0
00h 01m 23s,12679,5.0
00h 01m 23s,12777,9.0
00h 01m 23s,12927,4.0
00h 01m 23s,12961,5.0
00h 01m 23s,13063,4.0
00h 01m 23s,13333,7.0
00h 01m 23s,13746,0.0
00h 01m 23s,13884,13.0
